10150 481 321
0 0 123 123
1 0 123 123
2 0 123 123
3 0 123 123
4 0 123 123
5 0 123 123
6 0 123 123
7 0 123 123
8 0 123 123
9 0 123 123
10 0 123 123
11 0 123 123
12 0 123 123
13 0 123 123
14 0 123 123
15 0 123 123
16 0 123 123
17 0 123 123
18 0 123 123
19 0 123 123
20 0 123 123
21 0 123 123
22 0 123 123
23 0 123 123
24 0 123 123
25 0 123 123
26 0 123 123
27 0 123 123
28 0 123 123
29 0 123 123
30 0 123 123
31 0 123 123
32 0 123 123
33 0 123 123
34 0 123 123
35 0 123 123
36 0 123 123
37 0 123 123
38 0 123 123
39 0 123 123
40 0 123 123
41 0 123 123
42 0 123 123
43 0 123 123
44 0 123 123
45 0 123 123
46 0 123 123
47 0 123 123
170 0 119 119
175 0 119 119
262 0 75 75
263 0 75 75
264 0 75 75
0 1 123 123
1 1 123 123
2 1 123 123
3 1 123 123
4 1 123 123
5 1 123 123
6 1 123 123
7 1 123 123
8 1 123 123
9 1 123 123
10 1 123 123
11 1 123 123
12 1 123 123
13 1 123 123
14 1 123 123
15 1 123 123
16 1 123 123
17 1 123 123
18 1 123 123
19 1 123 123
20 1 123 123
21 1 123 123
22 1 123 123
23 1 123 123
24 1 123 123
25 1 123 123
26 1 123 123
27 1 123 123
28 1 123 123
29 1 123 123
30 1 123 123
31 1 123 123
32 1 123 123
33 1 123 123
34 1 123 123
35 1 123 123
36 1 123 123
37 1 123 123
38 1 123 123
39 1 123 123
40 1 123 123
41 1 123 123
42 1 123 123
43 1 123 123
44 1 123 123
45 1 123 123
46 1 123 123
47 1 123 123
170 1 119 119
175 1 119 119
262 1 75 75
263 1 75 75
0 2 123 123
1 2 123 123
2 2 123 123
3 2 123 123
4 2 123 123
5 2 123 123
6 2 123 123
7 2 123 123
8 2 123 123
9 2 123 123
10 2 123 123
11 2 123 123
12 2 123 123
13 2 123 123
14 2 123 123
15 2 123 123
16 2 123 123
17 2 123 123
18 2 123 123
19 2 123 123
20 2 123 123
21 2 123 123
22 2 123 123
23 2 123 123
24 2 123 123
25 2 123 123
26 2 123 123
27 2 123 123
28 2 123 123
29 2 123 123
30 2 123 123
31 2 123 123
32 2 123 123
33 2 123 123
34 2 123 123
35 2 123 123
36 2 123 123
37 2 123 123
38 2 123 123
39 2 123 123
40 2 123 123
41 2 123 123
42 2 123 123
43 2 123 123
44 2 123 123
45 2 123 123
46 2 123 123
47 2 123 123
169 2 119 119
170 2 119 119
171 2 119 119
172 2 119 119
173 2 119 119
174 2 119 119
175 2 119 119
176 2 119 119
177 2 119 119
178 2 119 119
262 2 75 75
263 2 75 75
0 3 123 123
1 3 123 123
2 3 123 123
3 3 123 123
4 3 123 123
5 3 123 123
6 3 123 123
7 3 123 123
8 3 123 123
9 3 123 123
10 3 123 123
11 3 123 123
12 3 123 123
13 3 123 123
14 3 123 123
15 3 123 123
16 3 123 123
17 3 123 123
18 3 123 123
19 3 123 123
20 3 123 123
21 3 123 123
22 3 123 123
23 3 123 123
24 3 123 123
25 3 123 123
26 3 123 123
27 3 123 123
28 3 123 123
29 3 123 123
30 3 123 123
31 3 123 123
32 3 123 123
33 3 123 123
34 3 123 123
35 3 123 123
36 3 123 123
37 3 123 123
38 3 123 123
39 3 123 123
40 3 123 123
41 3 123 123
42 3 123 123
43 3 123 123
44 3 123 123
45 3 123 123
46 3 123 123
47 3 123 123
170 3 119 119
174 3 119 119
175 3 119 119
261 3 75 75
262 3 75 75
263 3 75 75
264 3 75 75
265 3 75 75
0 4 123 123
1 4 123 123
2 4 123 123
3 4 123 123
4 4 123 123
5 4 123 123
6 4 123 123
7 4 123 123
8 4 123 123
9 4 123 123
10 4 123 123
11 4 123 123
12 4 123 123
13 4 123 123
14 4 123 123
15 4 123 123
16 4 123 123
17 4 123 123
18 4 123 123
19 4 123 123
20 4 123 123
21 4 123 123
22 4 123 123
23 4 123 123
24 4 123 123
25 4 123 123
26 4 123 123
27 4 123 123
28 4 123 123
29 4 123 123
30 4 123 123
31 4 123 123
32 4 123 123
33 4 123 123
34 4 123 123
35 4 123 123
36 4 123 123
37 4 123 123
38 4 123 123
39 4 123 123
40 4 123 123
41 4 123 123
42 4 123 123
43 4 123 123
44 4 123 123
45 4 123 123
46 4 123 123
47 4 123 123
170 4 119 119
174 4 119 119
175 4 119 119
261 4 75 75
262 4 75 75
263 4 75 75
264 4 75 75
265 4 75 75
266 4 75 75
0 5 123 123
1 5 123 123
2 5 123 123
3 5 123 123
4 5 123 123
5 5 123 123
6 5 123 123
7 5 123 123
8 5 123 123
9 5 123 123
10 5 123 123
11 5 123 123
12 5 123 123
13 5 123 123
14 5 123 123
15 5 123 123
16 5 123 123
17 5 123 123
18 5 123 123
19 5 123 123
20 5 123 123
21 5 123 123
22 5 123 123
23 5 123 123
24 5 123 123
25 5 123 123
26 5 123 123
27 5 123 123
28 5 123 123
29 5 123 123
30 5 123 123
31 5 123 123
32 5 123 123
33 5 123 123
34 5 123 123
35 5 123 123
36 5 123 123
37 5 123 123
38 5 123 123
39 5 123 123
40 5 123 123
41 5 123 123
42 5 123 123
43 5 123 123
44 5 123 123
45 5 123 123
46 5 123 123
47 5 123 123
169 5 119 119
170 5 119 119
171 5 119 119
172 5 119 119
173 5 119 119
174 5 119 119
175 5 119 119
259 5 75 75
260 5 75 75
261 5 75 75
262 5 75 75
263 5 75 75
0 6 123 123
1 6 123 123
2 6 123 123
3 6 123 123
4 6 123 123
5 6 123 123
6 6 123 123
7 6 123 123
8 6 123 123
9 6 123 123
10 6 123 123
11 6 123 123
12 6 123 123
13 6 123 123
14 6 123 123
15 6 123 123
16 6 123 123
17 6 123 123
18 6 123 123
19 6 123 123
20 6 123 123
21 6 123 123
22 6 123 123
23 6 123 123
24 6 123 123
25 6 123 123
26 6 123 123
27 6 123 123
28 6 123 123
29 6 123 123
30 6 123 123
31 6 123 123
32 6 123 123
33 6 123 123
34 6 123 123
35 6 123 123
36 6 123 123
37 6 123 123
38 6 123 123
39 6 123 123
40 6 123 123
41 6 123 123
42 6 123 123
43 6 123 123
44 6 123 123
45 6 123 123
46 6 123 123
47 6 123 123
170 6 119 119
175 6 119 119
177 6 119 119
178 6 119 119
256 6 75 75
257 6 75 75
258 6 75 75
259 6 75 75
260 6 75 75
261 6 75 75
262 6 75 75
263 6 75 75
0 7 123 123
1 7 123 123
2 7 123 123
3 7 123 123
4 7 123 123
5 7 123 123
6 7 123 123
7 7 123 123
8 7 123 123
9 7 123 123
10 7 123 123
11 7 123 123
12 7 123 123
13 7 123 123
14 7 123 123
15 7 123 123
16 7 123 123
17 7 123 123
18 7 123 123
19 7 123 123
20 7 123 123
21 7 123 123
22 7 123 123
23 7 123 123
24 7 123 123
25 7 123 123
26 7 123 123
27 7 123 123
28 7 123 123
29 7 123 123
30 7 123 123
31 7 123 123
32 7 123 123
33 7 123 123
34 7 123 123
35 7 123 123
36 7 123 123
37 7 123 123
38 7 123 123
39 7 123 123
40 7 123 123
41 7 123 123
42 7 123 123
43 7 123 123
44 7 123 123
45 7 123 123
46 7 123 123
47 7 123 123
170 7 119 119
175 7 119 119
176 7 119 119
177 7 119 119
178 7 119 119
256 7 75 75
257 7 75 75
258 7 75 75
259 7 75 75
260 7 75 75
261 7 75 75
262 7 75 75
263 7 75 75
0 8 123 123
1 8 123 123
2 8 123 123
3 8 123 123
4 8 123 123
5 8 123 123
6 8 123 123
7 8 123 123
8 8 123 123
9 8 123 123
10 8 123 123
11 8 123 123
12 8 123 123
13 8 123 123
14 8 123 123
15 8 123 123
16 8 123 123
17 8 123 123
18 8 123 123
19 8 123 123
20 8 123 123
21 8 123 123
22 8 123 123
23 8 123 123
24 8 123 123
25 8 123 123
26 8 123 123
27 8 123 123
28 8 123 123
29 8 123 123
30 8 123 123
31 8 123 123
32 8 123 123
33 8 123 123
34 8 123 123
35 8 123 123
36 8 123 123
37 8 123 123
38 8 123 123
39 8 123 123
43 8 123 123
44 8 123 123
168 8 119 119
169 8 119 119
170 8 119 119
176 8 119 119
177 8 119 119
346 8 44 44
347 8 44 44
0 9 123 123
1 9 123 123
2 9 123 123
3 9 123 123
4 9 123 123
5 9 123 123
6 9 123 123
7 9 123 123
8 9 123 123
9 9 123 123
10 9 123 123
11 9 123 123
12 9 123 123
13 9 123 123
14 9 123 123
15 9 123 123
16 9 123 123
17 9 123 123
18 9 123 123
19 9 123 123
20 9 123 123
21 9 123 123
22 9 123 123
23 9 123 123
24 9 123 123
25 9 123 123
26 9 123 123
27 9 123 123
28 9 123 123
29 9 123 123
30 9 123 123
31 9 123 123
32 9 123 123
33 9 123 123
34 9 123 123
35 9 123 123
36 9 123 123
37 9 123 123
38 9 123 123
39 9 123 123
43 9 123 123
44 9 123 123
168 9 119 119
176 9 119 119
177 9 119 119
332 9 74 74
333 9 74 74
334 9 74 74
346 9 44 44
347 9 44 44
0 10 123 123
1 10 123 123
2 10 123 123
3 10 123 123
4 10 123 123
5 10 123 123
6 10 123 123
7 10 123 123
8 10 123 123
9 10 123 123
10 10 123 123
11 10 123 123
12 10 123 123
13 10 123 123
14 10 123 123
15 10 123 123
16 10 123 123
17 10 123 123
18 10 123 123
19 10 123 123
20 10 123 123
21 10 123 123
22 10 123 123
23 10 123 123
24 10 123 123
25 10 123 123
26 10 123 123
27 10 123 123
28 10 123 123
29 10 123 123
30 10 123 123
31 10 123 123
32 10 123 123
33 10 123 123
34 10 123 123
35 10 123 123
36 10 123 123
37 10 123 123
38 10 123 123
39 10 123 123
43 10 123 123
44 10 123 123
176 10 119 119
177 10 119 119
178 10 119 119
332 10 74 74
346 10 44 44
0 11 123 123
1 11 123 123
2 11 123 123
3 11 123 123
4 11 123 123
5 11 123 123
6 11 123 123
7 11 123 123
8 11 123 123
9 11 123 123
10 11 123 123
11 11 123 123
12 11 123 123
13 11 123 123
14 11 123 123
15 11 123 123
16 11 123 123
17 11 123 123
18 11 123 123
19 11 123 123
20 11 123 123
21 11 123 123
22 11 123 123
23 11 123 123
24 11 123 123
25 11 123 123
26 11 123 123
27 11 123 123
28 11 123 123
29 11 123 123
30 11 123 123
31 11 123 123
32 11 123 123
33 11 123 123
34 11 123 123
35 11 123 123
36 11 123 123
37 11 123 123
38 11 123 123
39 11 123 123
43 11 123 123
44 11 123 123
178 11 119 119
332 11 74 74
345 11 44 44
346 11 44 44
348 11 44 44
411 11 101 101
412 11 101 101
461 11 33 33
462 11 33 33
463 11 33 33
0 12 123 123
1 12 123 123
2 12 123 123
3 12 123 123
4 12 123 123
5 12 123 123
6 12 123 123
7 12 123 123
8 12 123 123
9 12 123 123
10 12 123 123
11 12 123 123
12 12 123 123
13 12 123 123
14 12 123 123
15 12 123 123
16 12 123 123
17 12 123 123
18 12 123 123
19 12 123 123
20 12 123 123
21 12 123 123
22 12 123 123
23 12 123 123
24 12 123 123
25 12 123 123
26 12 123 123
27 12 123 123
28 12 123 123
29 12 123 123
30 12 123 123
31 12 123 123
32 12 123 123
33 12 123 123
34 12 123 123
35 12 123 123
36 12 123 123
37 12 123 123
38 12 123 123
39 12 123 123
43 12 123 123
44 12 123 123
178 12 119 119
179 12 119 119
343 12 44 44
344 12 44 44
345 12 44 44
346 12 44 44
347 12 44 44
348 12 44 44
410 12 101 101
411 12 101 101
412 12 101 101
413 12 101 101
462 12 33 33
463 12 33 33
0 13 123 123
1 13 123 123
2 13 123 123
3 13 123 123
4 13 123 123
5 13 123 123
6 13 123 123
7 13 123 123
8 13 123 123
9 13 123 123
10 13 123 123
11 13 123 123
12 13 123 123
13 13 123 123
14 13 123 123
15 13 123 123
16 13 123 123
17 13 123 123
18 13 123 123
19 13 123 123
20 13 123 123
21 13 123 123
22 13 123 123
23 13 123 123
24 13 123 123
25 13 123 123
26 13 123 123
27 13 123 123
28 13 123 123
29 13 123 123
30 13 123 123
31 13 123 123
32 13 123 123
